Company,Ticker,Time,Price
Tesla Inc,TSLA,2023-08-05 16:21:12,136
General Motors Company,GM,2023-08-05 16:21:12,132
Toyota Motor Corporation,TM,2023-08-05 16:21:12,139
Ford Motor Company,F,2023-08-05 16:21:12,137
Honda Motor Co,HMC,2023-08-05 16:21:12,141
Tesla Inc,TSLA,2023-08-05 16:21:12,139
General Motors Company,GM,2023-08-05 16:21:12,135
Toyota Motor Corporation,TM,2023-08-05 16:21:12,142
Ford Motor Company,F,2023-08-05 16:21:12,138
Honda Motor Co,HMC,2023-08-05 16:21:12,142
Tesla Inc,TSLA,2023-08-05 16:21:12,138
General Motors Company,GM,2023-08-05 16:21:12,137
Toyota Motor Corporation,TM,2023-08-05 16:21:12,136
Ford Motor Company,F,2023-08-05 16:21:12,132
Honda Motor Co,HMC,2023-08-05 16:21:12,141
Tesla Inc,TSLA,2023-08-05 16:21:12,143
General Motors Company,GM,2023-08-05 16:21:12,145
Toyota Motor Corporation,TM,2023-08-05 16:21:12,133
Ford Motor Company,F,2023-08-05 16:21:12,143
Honda Motor Co,HMC,2023-08-05 16:21:12,145
Tesla Inc,TSLA,2023-08-05 16:21:12,142
General Motors Company,GM,2023-08-05 16:21:12,146
Toyota Motor Corporation,TM,2023-08-05 16:21:12,140
Ford Motor Company,F,2023-08-05 16:21:12,132
Honda Motor Co,HMC,2023-08-05 16:21:12,133
Tesla Inc,TSLA,2023-08-05 16:21:12,135
General Motors Company,GM,2023-08-05 16:21:12,133
Toyota Motor Corporation,TM,2023-08-05 16:21:12,139
Ford Motor Company,F,2023-08-05 16:21:12,141
Honda Motor Co,HMC,2023-08-05 16:21:12,144
Tesla Inc,TSLA,2023-08-05 16:21:12,135
General Motors Company,GM,2023-08-05 16:21:12,137
Toyota Motor Corporation,TM,2023-08-05 16:21:12,144
Ford Motor Company,F,2023-08-05 16:21:12,143
Honda Motor Co,HMC,2023-08-05 16:21:12,146
Tesla Inc,TSLA,2023-08-05 16:21:12,137
General Motors Company,GM,2023-08-05 16:21:12,135
Toyota Motor Corporation,TM,2023-08-05 16:21:12,137
Ford Motor Company,F,2023-08-05 16:21:12,132
Honda Motor Co,HMC,2023-08-05 16:21:12,144
Tesla Inc,TSLA,2023-08-05 16:21:12,141
General Motors Company,GM,2023-08-05 16:21:12,141
Toyota Motor Corporation,TM,2023-08-05 16:21:12,142
Ford Motor Company,F,2023-08-05 16:21:12,138
Honda Motor Co,HMC,2023-08-05 16:21:12,146
Tesla Inc,TSLA,2023-08-05 16:21:12,135
General Motors Company,GM,2023-08-05 16:21:12,144
Toyota Motor Corporation,TM,2023-08-05 16:21:12,141
Ford Motor Company,F,2023-08-05 16:21:12,143
Honda Motor Co,HMC,2023-08-05 16:21:12,142
